listing_id,location,property_type,rent,area_sqft,bhk,sharing,bathrooms,furnishing,parking,wifi,food,attached_bathroom,distance_from_college_km,security_deposit,data_status
1,Rau,2 BHK,9300,856,2,Whole Property,2,Unfurnished,Yes,Yes,No,Yes,2.2,7000,Synthetic starter data
2,Sukhliya,2 BHK,12100,1135,2,Whole Property,1,Fully Furnished,Yes,Yes,No,Yes,2.0,17000,Synthetic starter data
3,Vijay Nagar,Single Room,8900,307,0,Single,1,Fully Furnished,Yes,Yes,No,Yes,5.9,10000,Synthetic starter data
4,Palasia,PG,4400,103,0,Triple,1,Semi-Furnished,Yes,Yes,No,Yes,1.0,5000,Synthetic starter data
5,Vijay Nagar,2 BHK,21100,1311,2,Whole Property,1,Semi-Furnished,Yes,Yes,No,Yes,5.8,32500,Synthetic starter data
6,Vijay Nagar,PG,7900,129,0,Single,1,Semi-Furnished,No,Yes,No,No,3.8,7000,Synthetic starter data
7,Rau,PG,4600,98,0,Single,1,Semi-Furnished,Yes,Yes,No,Yes,4.5,8000,Synthetic starter data
8,Vijay Nagar,2 BHK,14800,782,2,Whole Property,1,Fully Furnished,Yes,Yes,No,Yes,5.4,19000,Synthetic starter data
9,Vijay Nagar,1 BHK,10800,706,1,Whole Property,1,Unfurnished,Yes,Yes,No,Yes,4.4,8500,Synthetic starter data
10,LIG Colony,Single Room,5300,195,0,Single,1,Semi-Furnished,Yes,Yes,No,Yes,1.5,10500,Synthetic starter data
11,Geeta Bhawan,1 BHK,11300,733,1,Whole Property,1,Unfurnished,No,Yes,No,No,4.9,8500,Synthetic starter data
12,Scheme 54,2 BHK,18100,980,2,Whole Property,1,Unfurnished,No,Yes,No,Yes,2.0,12500,Synthetic starter data
13,Bengali Square,Single Room,7400,324,0,Single,1,Fully Furnished,Yes,No,No,Yes,3.3,11500,Synthetic starter data
14,Bicholi Mardana,PG,3700,202,0,Double,1,Fully Furnished,No,Yes,No,Yes,0.5,4000,Synthetic starter data
15,Geeta Bhawan,1 BHK,8700,502,1,Whole Property,1,Semi-Furnished,No,Yes,No,Yes,4.6,8000,Synthetic starter data
16,Geeta Bhawan,Shared Room,4200,359,0,Double,1,Semi-Furnished,Yes,Yes,No,Yes,5.2,3500,Synthetic starter data
17,Bhawarkua,1 BHK,9700,596,1,Whole Property,1,Semi-Furnished,Yes,No,No,Yes,3.3,15500,Synthetic starter data
18,Bhawarkua,Shared Room,3400,382,0,Double,1,Fully Furnished,No,Yes,No,Yes,1.7,2000,Synthetic starter data
19,LIG Colony,2 BHK,12500,758,2,Whole Property,2,Semi-Furnished,No,No,No,Yes,5.4,20500,Synthetic starter data
20,Rau,2 BHK,11800,902,2,Whole Property,1,Fully Furnished,Yes,Yes,No,Yes,1.6,15500,Synthetic starter data
21,Bhawarkua,Single Room,5200,247,0,Single,1,Fully Furnished,No,Yes,No,Yes,3.4,7500,Synthetic starter data
22,Geeta Bhawan,2 BHK,18400,1312,2,Whole Property,2,Unfurnished,No,Yes,No,Yes,3.1,13500,Synthetic starter data
23,Sukhliya,Single Room,4700,134,0,Single,1,Semi-Furnished,Yes,No,No,Yes,1.9,8000,Synthetic starter data
24,Bengali Square,2 BHK,11000,865,2,Whole Property,1,Semi-Furnished,No,Yes,No,Yes,3.5,26000,Synthetic starter data
25,Sukhliya,Shared Room,2500,270,0,Double,1,Fully Furnished,Yes,No,No,No,4.3,4000,Synthetic starter data
26,Scheme 54,1 BHK,12000,858,1,Whole Property,1,Semi-Furnished,Yes,Yes,No,Yes,1.4,8000,Synthetic starter data
27,Palasia,PG,3900,232,0,Triple,1,Fully Furnished,Yes,Yes,Yes,Yes,3.4,3500,Synthetic starter data
28,Vijay Nagar,1 BHK,10900,503,1,Whole Property,1,Semi-Furnished,Yes,No,No,Yes,5.8,13000,Synthetic starter data
29,Scheme 54,PG,4800,188,0,Double,1,Fully Furnished,No,No,No,Yes,4.8,4500,Synthetic starter data
30,Vijay Nagar,2 BHK,16300,876,2,Whole Property,1,Semi-Furnished,Yes,Yes,No,Yes,3.4,26000,Synthetic starter data
31,Sukhliya,PG,2900,158,0,Triple,1,Fully Furnished,Yes,Yes,Yes,No,0.4,2000,Synthetic starter data
32,Palasia,PG,5600,128,0,Double,1,Fully Furnished,Yes,Yes,Yes,No,5.4,4500,Synthetic starter data
33,Vijay Nagar,2 BHK,20200,1357,2,Whole Property,2,Unfurnished,Yes,Yes,No,Yes,0.5,27500,Synthetic starter data
34,Rau,Shared Room,2700,298,0,Double,1,Semi-Furnished,No,No,No,Yes,1.5,2500,Synthetic starter data
35,Bhawarkua,Single Room,6600,342,0,Single,1,Semi-Furnished,Yes,Yes,No,Yes,4.2,6500,Synthetic starter data
36,Sukhliya,Single Room,3900,174,0,Single,1,Unfurnished,No,Yes,No,Yes,1.3,7500,Synthetic starter data
37,Scheme 54,2 BHK,18000,1297,2,Whole Property,2,Semi-Furnished,Yes,No,No,No,2.7,30500,Synthetic starter data
38,LIG Colony,Shared Room,2500,306,0,Triple,1,Fully Furnished,Yes,No,No,No,2.3,5000,Synthetic starter data
39,Sukhliya,Single Room,6200,349,0,Single,1,Semi-Furnished,Yes,Yes,No,Yes,4.1,9500,Synthetic starter data
40,Vijay Nagar,Single Room,8600,266,0,Single,1,Unfurnished,Yes,Yes,No,Yes,4.3,16000,Synthetic starter data
41,Sukhliya,1 BHK,10000,850,1,Whole Property,1,Fully Furnished,Yes,Yes,No,Yes,5.0,14000,Synthetic starter data
42,Bicholi Mardana,2 BHK,10800,881,2,Whole Property,2,Semi-Furnished,Yes,Yes,No,Yes,1.7,11500,Synthetic starter data
43,Palasia,PG,4400,215,0,Double,1,Fully Furnished,Yes,Yes,No,No,3.6,10000,Synthetic starter data
44,LIG Colony,PG,2800,133,0,Triple,1,Semi-Furnished,Yes,Yes,Yes,No,5.5,2500,Synthetic starter data
45,Sukhliya,PG,6200,138,0,Single,1,Fully Furnished,Yes,Yes,No,No,0.6,4500,Synthetic starter data
46,Bhawarkua,PG,3700,149,0,Double,1,Fully Furnished,Yes,No,No,Yes,3.4,4000,Synthetic starter data
47,Scheme 54,1 BHK,11600,862,1,Whole Property,1,Fully Furnished,Yes,No,No,Yes,3.6,25000,Synthetic starter data
48,Palasia,1 BHK,11300,595,1,Whole Property,1,Unfurnished,Yes,Yes,No,Yes,5.8,19500,Synthetic starter data
49,Scheme 54,Single Room,7200,198,0,Single,1,Fully Furnished,Yes,Yes,No,Yes,3.3,11500,Synthetic starter data
50,Sukhliya,1 BHK,7800,532,1,Whole Property,1,Fully Furnished,Yes,Yes,No,No,3.8,6000,Synthetic starter data
51,Sukhliya,Shared Room,2800,191,0,Double,1,Fully Furnished,Yes,Yes,No,No,2.1,4500,Synthetic starter data
52,Palasia,Single Room,9500,328,0,Single,1,Semi-Furnished,No,Yes,No,Yes,0.4,8500,Synthetic starter data
53,Geeta Bhawan,Single Room,7600,190,0,Single,1,Fully Furnished,No,Yes,No,Yes,5.5,6000,Synthetic starter data
54,Scheme 54,Single Room,7700,244,0,Single,1,Semi-Furnished,Yes,Yes,No,No,3.1,7500,Synthetic starter data
55,Geeta Bhawan,PG,8200,240,0,Single,1,Fully Furnished,Yes,Yes,No,Yes,2.3,12500,Synthetic starter data
56,Bhawarkua,PG,5700,94,0,Single,1,Fully Furnished,Yes,Yes,No,Yes,2.3,11000,Synthetic starter data
57,Vijay Nagar,Single Room,7900,254,0,Single,1,Fully Furnished,No,Yes,No,Yes,5.3,15000,Synthetic starter data
58,Scheme 54,1 BHK,11700,702,1,Whole Property,1,Unfurnished,Yes,No,No,Yes,4.6,15500,Synthetic starter data
59,Sukhliya,PG,4700,204,0,Single,1,Fully Furnished,No,Yes,No,Yes,2.9,6500,Synthetic starter data
60,Rau,PG,2900,175,0,Double,1,Fully Furnished,Yes,No,No,Yes,4.8,4000,Synthetic starter data
61,Vijay Nagar,Shared Room,4200,383,0,Double,1,Fully Furnished,Yes,Yes,No,Yes,5.4,6000,Synthetic starter data
62,Rau,2 BHK,9400,1186,2,Whole Property,1,Fully Furnished,Yes,Yes,No,Yes,1.9,8500,Synthetic starter data
63,LIG Colony,PG,4700,129,0,Double,1,Fully Furnished,No,No,No,No,0.3,8000,Synthetic starter data
64,Scheme 54,1 BHK,11500,652,1,Whole Property,1,Semi-Furnished,Yes,Yes,No,Yes,2.1,13000,Synthetic starter data
65,Bengali Square,PG,7800,179,0,Single,1,Semi-Furnished,Yes,Yes,No,Yes,3.7,7000,Synthetic starter data
66,Bengali Square,PG,3600,173,0,Double,1,Fully Furnished,No,Yes,No,Yes,2.6,4500,Synthetic starter data
67,LIG Colony,1 BHK,9600,685,1,Whole Property,1,Semi-Furnished,No,No,No,Yes,2.5,17000,Synthetic starter data
68,Sukhliya,1 BHK,8700,740,1,Whole Property,1,Fully Furnished,No,Yes,No,Yes,2.3,15000,Synthetic starter data
69,Palasia,1 BHK,10800,744,1,Whole Property,1,Unfurnished,No,Yes,No,Yes,2.8,17000,Synthetic starter data
70,Bengali Square,PG,5500,128,0,Single,1,Fully Furnished,No,Yes,Yes,Yes,4.8,9500,Synthetic starter data
71,Bengali Square,2 BHK,18100,1169,2,Whole Property,2,Unfurnished,No,Yes,No,Yes,1.5,24500,Synthetic starter data
72,Vijay Nagar,Shared Room,4200,335,0,Double,1,Fully Furnished,Yes,Yes,No,Yes,2.6,7000,Synthetic starter data
73,Vijay Nagar,Shared Room,4500,188,0,Double,1,Semi-Furnished,No,Yes,No,Yes,2.7,4000,Synthetic starter data
74,Vijay Nagar,PG,8000,193,0,Single,1,Semi-Furnished,No,Yes,No,No,4.3,5500,Synthetic starter data
75,Bengali Square,Shared Room,3600,148,0,Double,1,Fully Furnished,No,No,No,Yes,1.6,2500,Synthetic starter data
76,Rau,Single Room,4400,214,0,Single,1,Semi-Furnished,Yes,Yes,No,Yes,4.9,2500,Synthetic starter data
77,Rau,Single Room,4200,124,0,Single,1,Unfurnished,No,Yes,No,Yes,5.5,5500,Synthetic starter data
78,Bhawarkua,PG,3400,118,0,Double,1,Fully Furnished,No,Yes,No,Yes,5.8,3000,Synthetic starter data
79,Palasia,PG,3400,138,0,Triple,1,Fully Furnished,Yes,Yes,Yes,No,2.3,5000,Synthetic starter data
80,Scheme 54,Shared Room,4600,294,0,Double,1,Fully Furnished,Yes,Yes,No,Yes,4.7,2500,Synthetic starter data
81,Rau,PG,3500,99,0,Double,1,Fully Furnished,No,Yes,Yes,Yes,4.4,5000,Synthetic starter data
82,Vijay Nagar,PG,4800,156,0,Double,1,Semi-Furnished,Yes,Yes,No,No,3.7,9000,Synthetic starter data
83,Bicholi Mardana,2 BHK,11900,931,2,Whole Property,1,Fully Furnished,No,Yes,No,Yes,1.5,6000,Synthetic starter data
84,Palasia,2 BHK,16200,1272,2,Whole Property,1,Semi-Furnished,No,Yes,No,Yes,2.6,24500,Synthetic starter data
85,Palasia,Single Room,8500,343,0,Single,1,Unfurnished,No,Yes,No,Yes,5.9,10500,Synthetic starter data
86,Bengali Square,1 BHK,10200,899,1,Whole Property,1,Semi-Furnished,Yes,Yes,No,No,5.9,15000,Synthetic starter data
87,Bhawarkua,PG,5300,235,0,Single,1,Fully Furnished,No,Yes,Yes,Yes,3.1,9000,Synthetic starter data
88,Sukhliya,PG,3200,142,0,Double,1,Fully Furnished,No,Yes,Yes,Yes,0.6,2500,Synthetic starter data
89,Sukhliya,PG,3700,115,0,Double,1,Fully Furnished,No,Yes,No,No,3.8,7000,Synthetic starter data
90,Vijay Nagar,Single Room,8900,349,0,Single,1,Fully Furnished,Yes,Yes,No,Yes,3.1,12500,Synthetic starter data
91,Rau,1 BHK,6900,522,1,Whole Property,1,Fully Furnished,No,Yes,No,Yes,2.8,5500,Synthetic starter data
92,Sukhliya,PG,3700,108,0,Double,1,Fully Furnished,No,No,No,Yes,3.3,2000,Synthetic starter data
93,Bicholi Mardana,1 BHK,7700,598,1,Whole Property,1,Unfurnished,No,Yes,No,No,5.4,11500,Synthetic starter data
94,Sukhliya,PG,3600,234,0,Double,1,Fully Furnished,Yes,No,Yes,Yes,2.0,6500,Synthetic starter data
95,Bicholi Mardana,2 BHK,12400,1343,2,Whole Property,1,Unfurnished,Yes,Yes,No,Yes,4.0,14000,Synthetic starter data
96,LIG Colony,Shared Room,3900,158,0,Double,1,Fully Furnished,Yes,Yes,No,Yes,3.9,5500,Synthetic starter data
97,Geeta Bhawan,PG,6500,123,0,Single,1,Fully Furnished,No,Yes,No,No,6.0,7000,Synthetic starter data
98,Palasia,Shared Room,3700,358,0,Triple,1,Fully Furnished,Yes,Yes,No,Yes,4.5,1500,Synthetic starter data
99,Palasia,Single Room,9800,341,0,Single,1,Fully Furnished,Yes,Yes,No,Yes,5.9,9500,Synthetic starter data
100,Bhawarkua,2 BHK,10800,810,2,Whole Property,2,Semi-Furnished,No,No,No,Yes,5.5,24000,Synthetic starter data
101,Sukhliya,PG,3300,182,0,Double,1,Fully Furnished,No,Yes,Yes,Yes,1.6,2500,Synthetic starter data
102,Vijay Nagar,2 BHK,21600,1270,2,Whole Property,2,Unfurnished,Yes,Yes,No,No,4.3,14000,Synthetic starter data
103,Scheme 54,PG,7900,178,0,Single,1,Fully Furnished,No,Yes,No,Yes,1.0,13500,Synthetic starter data
104,Bengali Square,PG,5000,127,0,Double,1,Fully Furnished,No,Yes,Yes,Yes,4.2,3000,Synthetic starter data
105,LIG Colony,Single Room,6500,323,0,Single,1,Semi-Furnished,No,Yes,No,Yes,3.4,11500,Synthetic starter data
106,LIG Colony,PG,6700,137,0,Single,1,Fully Furnished,No,Yes,No,Yes,4.6,4000,Synthetic starter data
107,LIG Colony,2 BHK,11300,780,2,Whole Property,1,Unfurnished,Yes,Yes,No,Yes,5.0,20500,Synthetic starter data
108,Bhawarkua,Shared Room,2500,136,0,Triple,1,Fully Furnished,Yes,Yes,No,No,1.0,2500,Synthetic starter data
109,Vijay Nagar,Single Room,8600,325,0,Single,1,Fully Furnished,No,No,No,Yes,5.6,13500,Synthetic starter data
110,Sukhliya,PG,3400,111,0,Double,1,Fully Furnished,Yes,No,No,No,4.6,2500,Synthetic starter data
111,Sukhliya,PG,5700,223,0,Single,1,Fully Furnished,No,Yes,Yes,Yes,3.0,9500,Synthetic starter data
112,Rau,1 BHK,7200,624,1,Whole Property,1,Semi-Furnished,No,Yes,No,No,1.2,8000,Synthetic starter data
113,Bicholi Mardana,Single Room,5200,286,0,Single,1,Unfurnished,No,Yes,No,Yes,2.1,9000,Synthetic starter data
114,LIG Colony,1 BHK,9900,723,1,Whole Property,1,Unfurnished,Yes,No,No,Yes,5.3,15500,Synthetic starter data
115,Scheme 54,1 BHK,10400,648,1,Whole Property,1,Semi-Furnished,Yes,Yes,No,No,3.8,19500,Synthetic starter data
116,Vijay Nagar,1 BHK,12200,677,1,Whole Property,1,Semi-Furnished,Yes,Yes,No,Yes,2.2,17000,Synthetic starter data
117,Palasia,2 BHK,16900,821,2,Whole Property,2,Semi-Furnished,Yes,No,No,No,4.0,25500,Synthetic starter data
118,Vijay Nagar,PG,5900,169,0,Double,1,Fully Furnished,Yes,Yes,No,No,0.7,7000,Synthetic starter data
119,LIG Colony,PG,3200,243,0,Triple,1,Fully Furnished,Yes,Yes,No,No,1.4,2500,Synthetic starter data
120,Sukhliya,PG,2500,192,0,Triple,1,Fully Furnished,Yes,No,No,Yes,4.8,4000,Synthetic starter data
121,Palasia,Shared Room,3800,141,0,Double,1,Fully Furnished,No,Yes,No,No,0.8,2500,Synthetic starter data
